iter	Passed	Remaining
0	262	393089
1	353	264956
2	430	214955
3	617	231115
4	702	210173
5	786	195732
6	872	186187
7	954	178092
8	1057	175117
9	1135	169139
10	1211	163953
11	1290	160042
12	1373	157060
13	1460	155064
14	1562	154715
15	1670	154915
16	1751	152835
17	1848	152182
18	1943	151465
19	2039	150886
20	2128	149882
21	2211	148585
22	2304	148020
23	2384	146650
24	2488	146795
25	2649	150193
26	2742	149641
27	2828	148676
28	2921	148182
29	3001	147096
30	3092	146563
31	3182	145983
32	3283	145963
33	3381	145795
34	3480	145679
35	3585	145826
36	3670	145146
37	3757	144560
38	3845	144059
39	3936	143674
40	4016	142923
41	4106	142554
42	4194	142117
43	4276	141526
44	4370	141312
45	4451	140706
46	4535	140209
47	4623	139863
48	4705	139341
49	4791	138941
50	4868	138329
51	4954	137966
52	5040	137619
53	5122	137177
54	5210	136881
55	5294	136530
56	5383	136287
57	5480	136259
58	5578	136254
59	5673	136163
60	5751	135677
61	5838	135420
62	5941	135525
63	6034	135406
64	6120	135113
65	6204	134798
66	6311	135000
67	6401	134801
68	6495	134714
69	6595	134745
70	6685	134566
71	6775	134388
72	6872	134345
73	6981	134541
74	7074	134422
75	7171	134368
76	7273	134426
77	7367	134309
78	7465	134284
79	7563	134244
80	7652	134067
81	7739	133835
82	7825	133592
83	7914	133416
84	7998	133146
85	8070	132698
86	8144	132277
87	8223	131948
88	8304	131663
89	8385	131365
90	8466	131098
91	8546	130793
92	8625	130499
93	8697	130085
94	8770	129706
95	8843	129335
96	8918	128997
97	9007	128857
98	9083	128538
99	9157	128198
100	9232	127877
101	9311	127616
102	9386	127315
103	9473	127164
104	9555	126947
105	9636	126722
106	9710	126415
107	9785	126124
108	9861	125847
109	9935	125547
110	10019	125380
111	10098	125152
112	10171	124850
113	10258	124723
114	10337	124494
115	10416	124284
116	10498	124093
117	10578	123897
118	10659	123708
119	10735	123454
120	10806	123155
121	10878	122873
122	10952	122618
123	11036	122468
124	11110	122215
125	11185	121978
126	11261	121746
127	11335	121507
128	11409	121258
129	11492	121110
130	11566	120879
131	11648	120721
132	11718	120445
133	11795	120242
134	11868	120001
135	11941	119768
136	12016	119553
137	12092	119344
138	12171	119180
139	12250	119000
140	12323	118776
141	12397	118563
142	12474	118373
143	12549	118174
144	12630	118031
145	12703	117816
146	12781	117639
147	12855	117441
148	12927	117216
149	12995	116960
150	13068	116755
151	13140	116533
152	13225	116438
153	13298	116230
154	13379	116100
155	13450	115878
156	13538	115810
157	13609	115591
158	13680	115383
159	13761	115255
160	13844	115142
161	13926	115022
162	13993	114779
163	14068	114608
164	14138	114391
165	14205	114155
166	14271	113912
167	14343	113719
168	14412	113506
169	14485	113326
170	14554	113116
171	14620	112883
172	14690	112685
173	14761	112491
174	14838	112348
175	14911	112176
176	14987	112027
177	15060	111850
178	15130	111659
179	15198	111458
180	15267	111255
181	15337	111069
182	15406	110879
183	15479	110712
184	15548	110519
185	15614	110310
186	15681	110106
187	15750	109916
188	15815	109703
189	15884	109521
190	15958	109367
191	16027	109186
192	16096	109008
193	16170	108856
194	16237	108664
195	16304	108475
196	16375	108312
197	16442	108123
198	16508	107930
199	16574	107735
200	16640	107542
201	16708	107364
202	16773	107167
203	16839	106981
204	16907	106808
205	16974	106623
206	17039	106433
207	17107	106263
208	17183	106142
209	17251	105970
