iter	Logloss
0	0.6280606398
1	0.5587634299
2	0.4993823186
3	0.4546319391
4	0.4090131365
5	0.3669171725
6	0.3312288614
7	0.2987716763
8	0.2685743616
9	0.2397519762
10	0.2145327755
11	0.1962503929
12	0.1782916072
13	0.1618032249
14	0.1476998429
15	0.135069911
16	0.1230868436
17	0.1124521239
18	0.1030457888
19	0.09462711041
20	0.08623938927
21	0.0795914863
22	0.07397445037
23	0.06831181782
24	0.06311223516
25	0.0582395117
26	0.05436140078
27	0.05067079929
28	0.04718808129
29	0.04395282194
30	0.04128883843
31	0.03883153278
32	0.03647859999
33	0.03436264436
34	0.03236791218
35	0.03054358422
36	0.02881826377
37	0.02741522265
38	0.02595030417
39	0.02464304912
40	0.02366555121
41	0.02245843958
42	0.02139575714
43	0.02043886803
44	0.01962654965
45	0.0189349014
46	0.01825421764
47	0.01750780496
48	0.01679284828
49	0.01625137587
50	0.01567203071
51	0.01520525425
52	0.01476028403
53	0.01421208624
54	0.01376369492
55	0.01328746218
56	0.01292066995
57	0.01257992505
58	0.01222784102
59	0.01192878747
60	0.0115607398
61	0.01127737737
62	0.01102451022
63	0.01070324982
64	0.01048132257
65	0.01024038187
66	0.01002747872
67	0.009823946615
68	0.009634725948
69	0.009468351015
70	0.009213392631
71	0.009038399948
72	0.008882084376
73	0.008729262449
74	0.008523765912
75	0.008329059565
76	0.008153845585
77	0.008009710428
78	0.007885728708
79	0.007723157285
80	0.007570569819
81	0.007455800009
82	0.007329214845
83	0.007195964952
84	0.007080906389
85	0.006989974664
86	0.006888362526
87	0.006801951084
88	0.006719389078
89	0.006595434302
90	0.006506823411
91	0.006427247879
92	0.006347649817
93	0.006267772369
94	0.006166680371
95	0.006101484017
96	0.006019979811
97	0.005935373683
98	0.005848165905
99	0.005768704759
100	0.005693248844
101	0.005612841144
102	0.005540933016
103	0.005480001024
104	0.005423834111
105	0.005363916718
106	0.005329127055
107	0.005271192716
108	0.005218046517
109	0.005177814766
110	0.005131793192
111	0.005093692806
112	0.005034902058
113	0.004993382239
114	0.004940915859
115	0.004891610887
116	0.004846327158
117	0.004806275135
118	0.00475541098
119	0.004709155992
120	0.004670129746
121	0.004641349268
122	0.004616651429
123	0.004587387676
124	0.004557985496
125	0.004531231919
126	0.004494387911
127	0.004462417243
128	0.004426143569
129	0.004395928467
130	0.004366727788
131	0.004344537911
132	0.004309267712
133	0.004275502446
134	0.004242933092
135	0.004218593841
136	0.004195099928
137	0.004166455168
138	0.004137773129
139	0.004103161914
140	0.004071845066
141	0.004037229987
142	0.004016916334
143	0.003995734674
144	0.003963857027
145	0.003932736218
146	0.003906970041
147	0.003880268126
148	0.003856734831
149	0.003839412555
150	0.003813734953
151	0.003800707215
152	0.003775576811
153	0.003757846692
154	0.00373786137
155	0.003726687825
156	0.003709969477
157	0.003693911038
158	0.003680678191
159	0.003658435937
160	0.003636088569
161	0.003612999376
162	0.003601711925
163	0.003577614336
164	0.003559269411
165	0.003540631397
166	0.003525827953
167	0.003501999021
168	0.003486217208
169	0.003469453278
170	0.003454210109
171	0.003433376056
172	0.003415582819
173	0.003398731319
174	0.003383344592
175	0.003364175643
176	0.003346964021
177	0.003327232468
178	0.003313068463
179	0.003293835778
180	0.003276606364
181	0.00325668252
182	0.003240611248
183	0.003228115198
184	0.003216272394
185	0.003199634106
186	0.003188301037
187	0.003174342779
188	0.003161446694
189	0.003142002195
190	0.003124062907
191	0.003109996281
192	0.003099416058
193	0.003087620859
194	0.003065232906
195	0.00305194062
196	0.003036569119
197	0.003022651335
198	0.003010656226
199	0.003000026261
200	0.002982725175
201	0.002974435828
202	0.002962676921
203	0.002952669924
204	0.002937294437
205	0.002928324872
206	0.002913788852
207	0.00290536746
208	0.002895321224
209	0.002883499189
210	0.002875307213
211	0.0028677824
212	0.002851379804
213	0.002845276339
214	0.002832532327
215	0.002820955127
216	0.002810589509
217	0.002800912461
218	0.002786575274
219	0.002780769783
220	0.00276702611
221	0.002757184644
222	0.002746767592
223	0.002742493724
224	0.002736846043
225	0.002728018745
226	0.002718614801
227	0.002708458992
228	0.002701996956
229	0.002683898226
230	0.002676348867
231	0.002665946313
232	0.002663882654
233	0.002650930174
234	0.002638049764
235	0.00262471763
236	0.002613250743
237	0.00260510512
238	0.002590949698
239	0.002581509408
240	0.002569145967
241	0.00256094121
242	0.002551720295
243	0.00254287356
244	0.002534094169
245	0.002520337356
246	0.002516310438
247	0.002510331907
248	0.002499719687
249	0.002493198836
250	0.002486836142
251	0.002477820105
252	0.002473748536
253	0.002466152238
254	0.002459523809
255	0.002449722353
256	0.002440533418
257	0.002431781451
258	0.00242181768
259	0.002413320299
260	0.002401370311
261	0.002393254047
262	0.002385405178
263	0.002378890996
264	0.0023698206
265	0.002354305875
266	0.002349773159
267	0.002344135634
268	0.00233849706
269	0.002338494437
270	0.002329766122
271	0.002323139291
272	0.002315537937
273	0.002313616211
274	0.002302405961
275	0.002297278841
276	0.002291065919
277	0.002279980612
278	0.002278306347
279	0.002272464977
280	0.00226247006
281	0.002254044697
282	0.002249846831
283	0.00224242575
284	0.002237912523
285	0.002231705717
286	0.002225081041
287	0.002220572196
288	0.002212611258
289	0.00221260588
290	0.002208178914
291	0.002201693074
292	0.002195663058
293	0.002195658919
294	0.002190690151
295	0.002182281283
296	0.002175308097
297	0.002170681846
298	0.002161544766
299	0.002157232105
300	0.002145815107
